,precision,recall,f1-score,support
Metal,0.9206349206349206,0.9666666666666667,0.943089430894309,60.0
Papel/Cartón,0.9836065573770492,1.0,0.9917355371900827,60.0
Plástico,0.9642857142857143,0.9,0.9310344827586207,60.0
accuracy,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
macro avg,0.9561757307658948,0.9555555555555556,0.9552864836143374,180.0
weighted avg,0.9561757307658948,0.9555555555555556,0.9552864836143374,180.0
